Material,Category,Description
Calcium carbonate,Additive,Used to modify cement paste and improve carbonation resistance.
Self-healing agents,Additive,Encapsulated healing agents for repairing micro-cracks in concrete.
Superabsorbent polymers (SAPs),Additive,Used for internal curing and water management in concrete.
Aluminum powder,Additive,Used in autoclaved aerated concrete for creating air voids.
Lithium carbonate,Additive,Reduces alkali-silica reaction in concrete.
Recycled plastics,Additive,Used as filler or lightweight aggregate in sustainable concrete.
Rubber particles,Additive,Derived from recycled tires improves flexibility and damping properties.
Bentonite clay,Additive,Used for rheology control and sealing properties in concrete.
Bentonite clay,Additive,Enhances impermeability and rheology of mixes.
Biochar,Additive,Charcoal-like material improves durability and carbon sequestration.
Ceramic waste,Additive,Recycled ceramics used as aggregate or filler.
Iron oxide pigments,Additive,Used for aesthetic coloration of concrete.
Phase-change materials (PCMs),Additive,Enhances thermal energy storage in concrete.
Red mud,Additive,By-product of aluminum production used as SCM or filler.
Strontium carbonate,Additive,Improves resistance to alkali-silica reaction (ASR).
Zinc oxide,Additive,Enhances durability in aggressive environments.
Other,Additive,Something considered an Additive but not in the List.
Bio-based polymers,Additive,Sustainable alternatives for modifying concrete properties.
Natural aggregate,Aggregate,Sand gravel and crushed stone used in concrete production.
Lightweight aggregate,Aggregate,Materials like expanded clay shale or pumice for lightweight concrete.
Recycled concrete aggregate,Aggregate,Crushed concrete reused as aggregate in new concrete.
Basalt aggregate,Aggregate,Crushed basalt rock for improved strength and durability.
Quartz sand,Aggregate,High-purity silica sand used in specialized concrete mixes.
Coconut shell aggregate,Aggregate,Lightweight aggregate from recycled coconut shells.
Crushed glass,Aggregate,Recycled material for use as aggregate or filler.
Copper slag,Aggregate/SCM,Industrial by-product used as replacement material in concrete.
Other,Aggregate,Something considered an Aggregate but not in the List.
Alkali-activated slag,Alternative Binder,Used in geopolymer production for eco-friendly concrete.
Phosphate cement,Alternative Binder,Specialty cement for chemical resistance.
Other,Alternative Binder,Something considered an Alternative Binder but not in the List.
Geopolymers,Binder,Alkali-activated materials with environmental benefits.
Limestone calcined clay,Binder,Used in LC3 blends for reduced carbon emissions.
Magnesium phosphate cement,Binder,Rapid-setting cement for specialty applications.
Sulfur cement,Binder,Resistant to aggressive chemical environments.
Other,Binder,Something considered a Binder but not in the List.
Asphalt binder,Bituminous Material,Used in concrete for pavements and flexible construction.
Other,Bituminous Material,Something considered a Bituminous Material but not in the List.
Portland cement,Cementitious Material,Standard binder for concrete central in most studies.
Sulfate-resistant cement,Cementitious Material,Used in environments exposed to sulfate attack.
Magnesium-based binders,Cementitious Material,Alternatives to Portland cement with lower carbon emissions.
High-alumina cement,Cementitious Material,Specialty cement for refractory and high-strength applications.
Calcium aluminate cement,Cementitious Material,High-performance cement with refractory properties.
Calcium sulfoaluminate cement,Cementitious Material,Low-carbon alternative binder quick setting properties.
Ferrite-based cement,Cementitious Material,Specialty cement with improved chemical resistance.
Other,Cementitious Material,Something considered a Cementitious Material but not in the List.
Superplasticizers,Chemical Admixture,Increases workability without additional water.
Air-entraining agents,Chemical Admixture,Introduces microscopic air bubbles to improve freeze-thaw resistance.
Accelerators,Chemical Admixture,Speeds up the hydration process and setting time.
Retarders,Chemical Admixture,Slows down hydration to extend workability.
Hydrophobic agents,Chemical Admixture,Improves water repellency of concrete.
Other,Chemical Admixture,Something considered a Chemical Admixture but not in the List.
Limestone powder,Filler Material,Ground limestone used as a partial cement replacement or filler.
Other,Filler Material,Something considered a Filler Material but not in the List.
Calcium silicate hydrate (C-S-H),Hydration Product,Main binding phase in hydrated cement.
Calcium hydroxide (portlandite),Hydration Product,Reacts with SCMs to improve properties.
Other,Hydration Product,Something considered a Hydration Product but not in the List.
